"","Sample.tag.","Cytotype","Subspecies","volumelast","subsppcyt","x","y"
"65",65,"2n","T",0.375008259912303,"T2n",9,3
"66",66,"2n","T",0.947825526002666,"T2n",10,3
"67",67,"2n","V",NA,"V2n",11,3
"68",68,"2n","V",NA,"V2n",12,3
"69",69,"4n","W",0.128738020677349,"W4n",13,3
"70",70,"4n","W",0.30481326210096,"W4n",14,3
"71",71,"4n","W",0.366994309544892,"W4n",15,3
"72",72,"4n","V",0.0277999991332051,"V4n",16,3
"73",73,"2n","T",1.07126095425275,"T2n",17,3
"74",74,"4n","V",0.0417343196863919,"V4n",18,3
"75",75,"2n","T",0.758150593645063,"T2n",19,3
"76",76,"2n","T",0.0549135785347261,"T2n",20,3
"77",77,"2n","T",0.351446902622247,"T2n",21,3
"78",78,"4n","W",0.110204687921879,"W4n",22,3
"79",79,"4n","W",NA,"W4n",23,3
"80",80,"4n","W",0.329824681074199,"W4n",24,3
"81",81,"2n","T",NA,"T2n",25,3
"82",82,"2n","T",0.560015538094454,"T2n",26,3
"83",83,"4n","T",NA,"T4n",27,3
"84",84,"4n","W",0.375008259912303,"W4n",28,3
"85",85,"2n","T",1.27208162700358,"T2n",28,4.5
"86",86,"4n","T",0.18761567316255,"T4n",27,4.5
"87",87,"4n","T",0.185607895447374,"T4n",26,4.5
"88",88,"2n","T",0.790755530900057,"T2n",25,4.5
"89",89,"4n","T",0.677899546764548,"T4n",24,4.5
"90",90,"2n","T",0.202081969007792,"T2n",23,4.5
"91",91,"2n","T",0.612835536447544,"T2n",22,4.5
"92",92,"4n","T",0.49834072520264,"T4n",21,4.5
"93",93,"4n","W",0.221988141226631,"W4n",20,4.5
"94",94,"2n","V",0.00494222206812535,"V2n",19,4.5
"95",95,"4n","T",0.340644372094869,"T4n",18,4.5
"96",96,"4n","W",NA,"W4n",17,4.5
"97",97,"4n","W",NA,"W4n",16,4.5
"98",98,"2n","V",NA,"V2n",15,4.5
"99",99,"4n","T",0.139429007998328,"T4n",14,4.5
"100",100,"4n","T",NA,"T4n",13,4.5
"101",101,"4n","W",NA,"W4n",12,4.5
"102",102,"2n","V",0.0389199987864872,"V2n",11,4.5
"103",103,"4n","W",0.00257407399381529,"W4n",10,4.5
"104",104,"2n","V",NA,"V2n",9,4.5
"105",105,"2n","T",NA,"T2n",8,4.5
"106",106,"2n","T",0.617777758515669,"T2n",7,4.5
"107",107,"2n","T",0.418278443748338,"T2n",6,4.5
"108",108,"2n","V",NA,"V2n",5,4.5
"109",109,"2n","T",0.600325536837602,"T2n",4,4.5
"110",110,"2n","T",0.681099978763525,"T2n",3,4.5
"111",111,"2n","V",0.0130505551486435,"V2n",2,4.5
"112",112,"4n","W",NA,"W4n",1,4.5
"113",113,"4n","T",0.189649191617664,"T4n",1,6
"114",114,"2n","T",0.771261210520229,"T2n",2,6
"115",115,"4n","V",0.127090613321307,"V4n",3,6
"116",116,"2n","T",1.41526020278623,"T2n",4,6
"117",117,"2n","T",NA,"T2n",5,6
"118",118,"2n","T",NA,"T2n",6,6
"119",119,"4n","V",NA,"V4n",7,6
"120",120,"2n","V",NA,"V2n",8,6
"121",121,"2n","V",NA,"V2n",9,6
"122",122,"2n","T",1.0939814473715,"T2n",10,6
"123",123,"2n","V",0.0444799986131282,"V2n",11,6
"124",124,"2n","T",1.61687883847514,"T2n",12,6
"125",125,"2n","T",0.393524432174481,"T2n",13,6
"126",126,"4n","V",0.0805341950198343,"V4n",14,6
"127",127,"4n","W",0.376913074667727,"W4n",15,6
"128",128,"2n","V",NA,"V2n",16,6
"129",129,"4n","V",0.156606661783722,"V4n",17,6
"130",130,"2n","V",NA,"V2n",18,6
"131",131,"4n","V",0.0116004934654609,"V4n",19,6
"132",132,"4n","V",NA,"V4n",20,6
"133",133,"4n","T",0.331935421749127,"T4n",21,6
"134",134,"2n","V",NA,"V2n",22,6
"135",135,"4n","W",0.462475294222147,"W4n",23,6
"136",136,"4n","W",0.107973823793905,"W4n",24,6
"137",137,"2n","T",NA,"T2n",25,6
"138",138,"4n","W",0.0960987624357708,"W4n",26,6
"139",139,"2n","V",NA,"V2n",27,6
"140",140,"4n","W",NA,"W4n",28,6
"141",141,"2n","T",NA,"T2n",28,7.5
"142",142,"2n","T",0.169888883591809,"T2n",27,7.5
"143",143,"2n","T",0.590286648261722,"T2n",26,7.5
"144",144,"4n","W",0.316611101239281,"W4n",25,7.5
"145",145,"4n","T",NA,"T4n",24,7.5
"146",146,"4n","W",NA,"W4n",23,7.5
"147",147,"2n","T",NA,"T2n",22,7.5
"148",148,"2n","V",NA,"V2n",21,7.5
"149",149,"2n","T",0.0340721594314684,"T2n",20,7.5
"150",150,"2n","V",NA,"V2n",19,7.5
"151",151,"2n","T",0.54487998301082,"T2n",18,7.5
"152",152,"4n","T",0.758150593645063,"T4n",17,7.5
"153",153,"2n","T",0.0907790095152192,"T2n",16,7.5
"154",154,"2n","T",0.049834072520264,"T2n",15,7.5
"155",155,"4n","W",NA,"W4n",14,7.5
"156",156,"2n","T",0.0865918491519463,"T2n",13,7.5
"157",157,"4n","W",0.0340549989381763,"W4n",12,7.5
"158",158,"4n","T",0.532764674746596,"T4n",11,7.5
"159",159,"4n","T",0.173157957563954,"T4n",10,7.5
"160",160,"4n","W",NA,"W4n",9,7.5
"161",161,"2n","T",0.77710435848619,"T2n",8,7.5
"162",162,"2n","T",0.986728364295861,"T2n",7,7.5
"163",163,"4n","V",0.145006168318261,"V4n",6,7.5
"164",164,"4n","T",0.399410481373672,"T4n",5,7.5
"165",165,"4n","W",0.0154444439628917,"W4n",4,7.5
"166",166,"4n","W",0.0571101216761152,"W4n",3,7.5
"167",167,"2n","V",NA,"V2n",2,7.5
"168",168,"2n","T",NA,"T2n",1,7.5
"169",169,"4n","T",0.532764674746596,"T4n",1,9
"170",170,"2n","T",1.42088884458604,"T2n",2,9
"171",171,"4n","W",NA,"W4n",3,9
"172",172,"2n","T",0.532764674746596,"T2n",4,9
"173",173,"2n","T",0.686419731684077,"T2n",5,9
"174",174,"4n","W",NA,"W4n",6,9
"175",175,"2n","V",NA,"V2n",7,9
"176",176,"2n","V",0.0789382691436688,"V2n",8,9
"177",177,"2n","V",NA,"V2n",9,9
"178",178,"2n","T",0.274207522314497,"T2n",10,9
"179",179,"2n","V",NA,"V2n",11,9
"180",180,"4n","W",NA,"W4n",12,9
"181",181,"2n","T",0.285722213313497,"T2n",13,9
"182",182,"2n","T",NA,"T2n",14,9
"183",183,"4n","V",0.123555551703134,"V4n",15,9
"184",184,"2n","T",0.416588135159066,"T2n",16,9
"185",185,"2n","V",NA,"V2n",17,9
"186",186,"4n","V",NA,"V4n",18,9
"187",187,"2n","T",0.270277769350605,"T2n",19,9
"188",188,"2n","T",0.481729367695885,"T2n",20,9
"189",189,"4n","W",NA,"W4n",21,9
"190",190,"4n","T",0.660249979413621,"T4n",22,9
"191",191,"4n","W",NA,"W4n",23,9
"192",192,"2n","T",0.832455529599864,"T2n",24,9
"193",193,"2n","V",NA,"V2n",25,9
"194",194,"2n","T",NA,"T2n",26,9
"195",195,"2n","T",0.0768704297019706,"T2n",27,9
"196",196,"2n","V",NA,"V2n",28,9
"197",197,"2n","T",1.35107995787377,"T2n",28,10.5
"198",198,"2n","T",0.594714055531084,"T2n",27,10.5
"199",199,"2n","T",0.226209622576488,"T2n",26,10.5
"200",200,"2n","T",0.316302212360023,"T2n",25,10.5
"201",201,"4n","T",0.54487998301082,"T4n",24,10.5
"202",202,"4n","W",NA,"W4n",23,10.5
"203",203,"4n","T",0.481600663996195,"T4n",22,10.5
"204",204,"4n","T",0.193055549536147,"T4n",21,10.5
"205",205,"2n","V",0.0955153056638393,"V2n",20,10.5
"206",206,"4n","V",NA,"V4n",19,10.5
"207",207,"2n","T",0.645234547783032,"T2n",18,10.5
"208",208,"2n","T",0.729749977246634,"T2n",17,10.5
"209",209,"2n","V",NA,"V2n",16,10.5
"210",210,"4n","W",NA,"W4n",15,10.5
"211",211,"4n","T",0.460081405407899,"T4n",14,10.5
"212",212,"4n","V",0.000694999978330128,"V4n",13,10.5
"213",213,"2n","T",0.663476152152537,"T2n",12,10.5
"214",214,"2n","T",0.439308628277809,"T2n",11,10.5
"215",215,"2n","T",0.515775786387415,"T2n",10,10.5
"216",216,"4n","W",0.215261227856127,"W4n",9,10.5
"217",217,"2n","V",NA,"V2n",8,10.5
"218",218,"2n","T",1.06751996671508,"T2n",7,10.5
"219",219,"2n","T",NA,"T2n",6,10.5
"220",220,"4n","V",0.0297562953685047,"V4n",5,10.5
"221",221,"2n","T",0.836574047989969,"T2n",4,10.5
"222",222,"2n","V",NA,"V2n",3,10.5
"223",223,"4n","W",NA,"W4n",2,10.5
"224",224,"4n","V",NA,"V4n",1,10.5
"225",225,"2n","T",0.799249975079647,"T2n",1,12
"226",226,"2n","T",0.62255695589752,"T2n",2,12
"227",227,"2n","T",NA,"T2n",3,12
"228",228,"4n","T",0.239388881424822,"T4n",4,12
"229",229,"4n","T",0.790755530900057,"T4n",5,12
"230",230,"2n","T",NA,"T2n",6,12
"231",231,"4n","W",0.294302459959548,"W4n",7,12
"232",232,"4n","W",0.316302212360023,"W4n",8,12
"233",233,"4n","W",0.0482638873840367,"W4n",9,12
"234",234,"2n","T",0.781874975621394,"T2n",10,12
"235",235,"4n","W",0.0307516039794466,"W4n",11,12
"236",236,"4n","W",0.114357527298567,"W4n",12,12
"237",237,"2n","T",0.430668319905236,"T2n",13,12
"238",238,"2n","T",0.469124985372836,"T2n",14,12
"239",239,"4n","V",NA,"V4n",15,12
"240",240,"4n","V",0.210216042828249,"V4n",16,12
"241",241,"2n","T",0.339777767183618,"T2n",17,12
"242",242,"2n","T",0.208534314485623,"T2n",18,12
"243",243,"2n","V",NA,"V2n",19,12
"244",244,"2n","T",0.0173749994582532,"T2n",20,12
"245",245,"4n","V",NA,"V4n",21,12
"246",246,"2n","T",0.649052757540525,"T2n",22,12
"247",247,"2n","V",NA,"V2n",23,12
"248",248,"2n","T",1.48266662043761,"T2n",24,12
"249",249,"4n","V",NA,"V4n",25,12
"250",250,"2n","V",NA,"V2n",26,12
"251",251,"2n","T",NA,"T2n",27,12
"252",252,"4n","W",0.193295796442236,"W4n",28,12
"253",253,"4n","W",0.247368510805649,"W4n",27,13.5
"254",254,"2n","V",NA,"V2n",26,13.5
"255",255,"4n","W",0.523540909602092,"W4n",25,13.5
"256",256,"4n","W",NA,"W4n",24,13.5
"257",257,"2n","T",0.706746335988572,"T2n",23,13.5
"258",258,"4n","T",0.237810116041948,"T4n",22,13.5
"259",259,"2n","V",NA,"V2n",21,13.5
"260",260,"4n","T",0.694999978330128,"T4n",20,13.5
"261",261,"4n","V",NA,"V4n",19,13.5
"262",262,"4n","W",0.494222206812535,"W4n",18,13.5
"263",263,"2n","T",0.444799986131282,"T2n",17,13.5
"264",264,"2n","T",0.302711101672678,"T2n",16,13.5
"265",265,"2n","V",NA,"V2n",15,13.5
"266",266,"2n","V",NA,"V2n",14,13.5
"267",267,"2n","V",NA,"V2n",13,13.5
"268",268,"4n","T",0.299004435121584,"T4n",12,13.5
"269",269,"2n","T",0.691679422878106,"T2n",11,13.5
"270",270,"4n","V",0.308348323719133,"V4n",10,13.5
"271",271,"4n","W",0.134538267410079,"W4n",9,13.5
"272",272,"4n","W",0.272105361886214,"W4n",8,13.5
"273",273,"2n","T",0.495921095648454,"T2n",7,13.5
"274",274,"2n","T",0.631506153149351,"T2n",6,13.5
"275",275,"4n","T",0.0667199979196923,"T4n",5,13.5
"276",276,"2n","T",0.650828868596258,"T2n",4,13.5
"277",277,"2n","T",NA,"T2n",3,13.5
"278",278,"2n","V",NA,"V2n",2,13.5
"279",279,"2n","T",NA,"T2n",1,13.5
"280",280,"2n","T",0.60578257370449,"T2n",1,15
"281",281,"4n","V",0.307481718807882,"V4n",2,15
"282",282,"4n","T",NA,"T4n",3,15
"283",283,"4n","T",0.499473317759919,"T4n",4,15
"284",284,"2n","T",NA,"T2n",5,15
"285",285,"2n","T",NA,"T2n",6,15
"286",286,"2n","T",NA,"T2n",7,15
"287",287,"4n","W",NA,"W4n",8,15
"288",288,"4n","W",NA,"W4n",9,15
"289",289,"2n","T",0.399410481373672,"T2n",10,15
"290",290,"4n","V",0.231237647111073,"V4n",11,15
"291",291,"4n","V",NA,"V4n",12,15
"292",292,"2n","T",0.352390729753313,"T2n",13,15
"293",293,"4n","V",NA,"V4n",14,15
"294",294,"2n","T",0.915872687492772,"T2n",15,15
"295",295,"2n","V",NA,"V2n",16,15
"296",296,"4n","W",0.0203008635645566,"W4n",17,15
"297",297,"2n","T",1.30505551486435,"T2n",18,15
"298",298,"2n","V",NA,"V2n",19,15
"299",299,"4n","W",0.0520735168948833,"W4n",20,15
"300",300,"4n","T",0.399376160387088,"T4n",21,15
"301",301,"2n","V",NA,"V2n",22,15
"302",302,"2n","T",0.182862216520638,"T2n",23,15
"303",303,"2n","V",NA,"V2n",24,15
"304",304,"2n","T",1.13012144624466,"T2n",25,15
"305",305,"4n","W",0.0250199992198846,"W4n",26,15
"306",306,"2n","T",0.0208499993499038,"T2n",27,15
"307",307,"4n","V",NA,"V4n",27,16.5
"308",308,"2n","V",NA,"V2n",26,16.5
"309",309,"2n","V",0.0145006168318261,"V2n",25,16.5
"310",310,"2n","V",NA,"V2n",24,16.5
"311",311,"2n","T",0.751217754355054,"T2n",23,16.5
"312",312,"4n","T",0.35930640855003,"T4n",22,16.5
"313",313,"4n","W",NA,"W4n",21,16.5
"314",314,"4n","V",NA,"V4n",20,16.5
"315",315,"2n","T",0.0778399975729743,"T2n",19,16.5
"316",316,"4n","V",NA,"V4n",18,16.5
"317",317,"4n","W",NA,"W4n",17,16.5
"318",318,"4n","W",0.0939022192943817,"W4n",16,16.5
"319",319,"4n","T",0.0611599980930513,"T4n",15,16.5
"320",320,"2n","V",NA,"V2n",14,16.5
"321",321,"2n","T",0.197688882725014,"T2n",13,16.5
"322",322,"2n","T",1.1839367532087,"T2n",12,16.5
"323",323,"2n","V",NA,"V2n",11,16.5
"324",324,"2n","T",1.60622217214074,"T2n",10,16.5
"325",325,"4n","W",0.0174007401981914,"W4n",9,16.5
"326",326,"2n","V",NA,"V2n",8,16.5
"327",327,"4n","W",NA,"W4n",7,16.5
"328",328,"2n","T",0.836574047989969,"T2n",6,16.5
"329",329,"4n","W",0.0870294417308949,"W4n",5,16.5
"330",330,"4n","W",NA,"W4n",4,16.5
"331",331,"4n","W",0.193055549536147,"W4n",3,16.5
"332",332,"4n","W",0.206140425671374,"W4n",2,16.5
"333",333,"2n","T",0.0280316657926485,"T2n",1,16.5
"334",334,"4n","T",0.531563440216149,"T4n",1,18
"335",335,"2n","T",NA,"T2n",2,18
"336",336,"2n","V",NA,"V2n",3,18
"337",337,"4n","W",0.215261227856127,"W4n",4,18
"338",338,"2n","T",1.32774168699651,"T2n",5,18
"339",339,"2n","V",NA,"V2n",6,18
"340",340,"2n","T",0.00494222206812535,"T2n",7,18
"341",341,"2n","T",2.24678048550167,"T2n",8,18
"342",342,"2n","T",0.181558019030438,"T2n",9,18
"343",343,"4n","W",0.0280316657926485,"W4n",10,18
"344",344,"2n","T",1.11744842194845,"T2n",11,18
"345",345,"2n","T",0.270972769328935,"T2n",12,18
"346",346,"2n","V",NA,"V2n",13,18
"347",347,"4n","W",0.60652047491605,"W4n",14,18
"348",348,"4n","T",0.133439995839385,"T4n",15,18
"349",349,"2n","T",0.495595046275903,"T2n",16,18
"350",350,"4n","T",0.569934303217289,"T4n",17,18
"351",351,"4n","W",NA,"W4n",18,18
"352",352,"2n","T",0.149502217560792,"T2n",19,18
"353",353,"4n","V",0.219654314138905,"V4n",20,18
"354",354,"2n","T",0.762543679927841,"T2n",21,18
"355",355,"4n","W",0.127811354039575,"W4n",22,18
"356",356,"4n","W",0.0867291330982831,"W4n",23,18
"357",357,"4n","W",0.277999991332051,"W4n",24,18
"358",358,"2n","V",NA,"V2n",25,18
"359",359,"2n","T",0.832455529599864,"T2n",26,18
"360",360,"2n","T",0.466181960773241,"T2n",27,18
"361",361,"4n","T",NA,"T4n",27,19.5
"362",362,"2n","T",0.686419731684077,"T2n",26,19.5
"363",363,"2n","T",NA,"T2n",25,19.5
"364",364,"4n","W",NA,"W4n",24,19.5
"365",365,"2n","T",1.32774168699651,"T2n",23,19.5
"366",366,"4n","W",NA,"W4n",22,19.5
"367",367,"2n","T",0.741642199098061,"T2n",21,19.5
"368",368,"4n","W",NA,"W4n",20,19.5
"369",369,"4n","V",NA,"V4n",19,19.5
"370",370,"4n","T",0.206140425671374,"T4n",18,19.5
"371",371,"4n","V",NA,"V4n",17,19.5
"372",372,"4n","W",0.815123431374841,"W4n",16,19.5
"373",373,"2n","T",0.200159993759077,"T2n",15,19.5
"374",374,"2n","V",NA,"V2n",14,19.5
"375",375,"2n","T",0.797345160324224,"T2n",13,19.5
"376",376,"2n","T",1.23775206017273,"T2n",12,19.5
"377",377,"2n","V",0.0152899995232628,"V2n",11,19.5
"378",378,"4n","W",NA,"W4n",10,19.5
"379",379,"4n","V",0.0830567875337733,"V4n",9,19.5
"380",380,"2n","T",0.639477202283532,"T2n",8,19.5
"381",381,"2n","T",0.293444435294943,"T2n",7,19.5
"382",382,"2n","T",0.371052766208474,"T2n",6,19.5
"383",383,"2n","T",1.23775206017273,"T2n",5,19.5
"384",384,"4n","W",NA,"W4n",4,19.5
"385",385,"2n","V",NA,"V2n",3,19.5
"386",386,"4n","T",NA,"T4n",2,19.5
"387",387,"4n","W",0.168172834262599,"W4n",1,19.5
"388",388,"2n","T",0.177919994452513,"T2n",1,21
"389",389,"2n","T",0.467039985437846,"T2n",2,21
"390",390,"2n","T",NA,"T2n",3,21
"391",391,"2n","T",NA,"T2n",4,21
"392",392,"4n","W",0.231666659443376,"W4n",5,21
"393",393,"4n","V",NA,"V4n",6,21
"394",394,"2n","T",0.810524419172558,"T2n",7,21
"395",395,"4n","W",0.108934811418263,"W4n",8,21
"396",396,"2n","T",NA,"T2n",9,21
"397",397,"2n","T",NA,"T2n",10,21
"398",398,"4n","W",NA,"W4n",11,21
"399",399,"2n","V",NA,"V2n",12,21
"400",400,"2n","T",NA,"T2n",13,21
"401",401,"2n","V",NA,"V2n",14,21
"402",402,"2n","V",NA,"V2n",15,21
"403",403,"4n","V",0.469819985351166,"V4n",16,21
"404",404,"4n","W",NA,"W4n",17,21
"405",405,"4n","W",0.222631659725084,"W4n",18,21
"406",406,"4n","W",NA,"W4n",19,21
"407",407,"2n","T",0.562512389868455,"T2n",20,21
"408",408,"4n","V",NA,"V4n",21,21
"409",409,"2n","T",0.618730165893381,"T2n",22,21
"410",410,"2n","V",NA,"V2n",23,21
"411",411,"2n","T",1.07585996645504,"T2n",24,21
"412",412,"2n","V",NA,"V2n",25,21
"413",413,"2n","V",NA,"V2n",26,21
"414",414,"4n","V",0.0639399980063718,"V4n",27,21
"415",415,"2n","T",0.293444435294943,"T2n",27,22.5
"416",416,"2n","T",0.951892562912894,"T2n",26,22.5
"417",417,"4n","W",NA,"W4n",25,22.5
"418",418,"4n","W",1.22458138157104,"W4n",24,22.5
"419",419,"2n","T",0.337238014176387,"T2n",23,22.5
"420",420,"2n","V",0.0137283946336815,"V2n",22,22.5
"421",421,"2n","V",NA,"V2n",21,22.5
"422",422,"4n","V",NA,"V4n",20,22.5
"423",423,"4n","T",0.660249979413621,"T4n",19,22.5
"424",424,"2n","T",NA,"T2n",18,22.5
"425",425,"4n","W",NA,"W4n",17,22.5
"426",426,"2n","V",NA,"V2n",16,22.5
"427",427,"4n","W",NA,"W4n",15,22.5
"428",428,"2n","T",1.64912340537099,"T2n",14,22.5
"429",429,"2n","T",0.316302212360023,"T2n",13,22.5
"430",430,"4n","W",NA,"W4n",12,22.5
"431",431,"2n","V",1.29156736713676,"V2n",11,22.5
"432",432,"2n","T",0.948906637080068,"T2n",10,22.5
"433",433,"4n","V",NA,"V4n",9,22.5
"434",434,"2n","T",0.227342215133766,"T2n",8,22.5
"435",435,"4n","W",0.214386042698229,"W4n",7,22.5
"436",436,"4n","W",NA,"W4n",6,22.5
"437",437,"2n","T",NA,"T2n",5,22.5
"438",438,"4n","W",NA,"W4n",4,22.5
"439",439,"2n","T",0.576935784480467,"T2n",3,22.5
"440",440,"4n","W",NA,"W4n",2,22.5
"441",441,"2n","T",1.42610563454684,"T2n",1,22.5
"442",442,"4n","W",NA,"W4n",1,24
"443",443,"4n","V",NA,"V4n",2,24
"444",444,"4n","T",NA,"T4n",3,24
"445",445,"4n","W",0.516839736971526,"W4n",4,24
"446",446,"2n","T",0.230911597738523,"T2n",5,24
"447",447,"2n","T",NA,"T2n",6,24
"448",448,"4n","V",0.391516654459305,"V4n",7,24
"449",449,"2n","T",NA,"T2n",8,24
"450",450,"2n","T",0.206414993564048,"T2n",9,24
"451",451,"4n","W",0.400319987518154,"W4n",10,24
"452",452,"2n","V",NA,"V2n",11,24
"453",453,"2n","T",NA,"T2n",12,24
"454",454,"2n","T",0.962257500861323,"T2n",13,24
"455",455,"2n","V",0.324333323220726,"V2n",14,24
"456",456,"2n","V",NA,"V2n",15,24
"457",457,"2n","T",0.470815293962108,"T2n",16,24
"458",458,"2n","V",NA,"V2n",17,24
"459",459,"2n","V",NA,"V2n",18,24
"460",460,"2n","V",NA,"V2n",19,24
"461",461,"2n","T",0.799249975079647,"T2n",20,24
"462",462,"4n","W",NA,"W4n",21,24
"463",463,"4n","V",0.0681099978763525,"V4n",22,24
"464",464,"2n","V",NA,"V2n",23,24
"465",465,"2n","V",NA,"V2n",24,24
"466",466,"2n","T",NA,"T2n",25,24
"467",467,"4n","W",0.214386042698229,"W4n",26,24
"468",468,"4n","T",NA,"T4n",27,24
"469",NA,NA,NA,NA,NA,28,18
"470",NA,NA,NA,NA,NA,28,15
"471",NA,NA,NA,NA,NA,28,16.5
"472",NA,NA,NA,NA,NA,28,19.5
"473",NA,NA,NA,NA,NA,28,21
"474",NA,NA,NA,NA,NA,28,22.5
"475",NA,NA,NA,NA,NA,28,13.5
"476",NA,NA,NA,NA,NA,28,24
