Sample.tag.,Subspp.Prov.ID,Pop,Height10_10,Crown10_10,Ellip_vol10_10,Height5_11,Crown7_11,Ellip_vol11,Height5_12,Crown5_12,Ellip_vol12,2yr_grw_vol_cm,2yr_grw_vol_m,y2011,y2012,y2011_m,y2012_m
30,WAW-3-7,WAW-3-7,22.5,113.8,10725.39732,11.5,1527.603,73586.29756,57.3,5400.159,1296133.628,1358994.528,1.358994528,73586.29756,1222547.33,0.073586298,1.22254733
31,MTV-1-2,MTV-1-2,11,59.6,2746.170858,8.6,1249.295,45004.09807,49.5,4268.682,885090.3608,927348.288,0.927348288,45004.09807,840086.2627,0.045004098,0.840086263
32,AZT-1-8,AZT-1-8,16.5,58.3,4029.406737,11.3,756.407,35803.26163,64,2552.163,684190.424,715964.2789,0.715964279,35803.26163,648387.1624,0.035803262,0.648387162
33,ORT-1-4,ORT-1-4,16.1,52.6,3547.318873,8.4,1319.925,46442.66685,57,5147.895,1229116.773,1272012.121,1.272012121,46442.66685,1182674.106,0.046442667,1.182674106
34,UTT-2-7,UTT-2-7,32.2,158.5,21378.32857,13.2,1340.156,74099.9467,88.2,4340.235,1603505.446,1656227.064,1.656227064,74099.9467,1529405.499,0.074099947,1.529405499
35,UTV-2-3,UTV-2-3,31.5,127,16757.25521,14.8,1176.795,72954.34106,61.5,4556.357,1173765.85,1229962.935,1.229962935,72954.34106,1100811.509,0.072954341,1.100811509
36,NVT-1-6,NVT-1-6,46.3,313.7,60839.28746,14.1,2988.045,176479.7401,96.6,11822.065,4783646.497,4899286.95,4.89928695,176479.7401,4607166.757,0.17647974,4.607166757
37,CAV-2-6,CAV-2-6,11,40.7,1875.321375,8.4,782.279,27525.14195,30,2151.803,270403.5399,296053.3604,0.29605336,27525.14195,242878.3979,0.027525142,0.242878398
38,CAW-3-1,CAW-3-1,23.8,406.7,40545.22724,17,3088.001,219894.8018,59.8,6530.051,1635710.217,1815059.792,1.815059792,219894.8018,1415815.415,0.219894802,1.415815415
39,NVT-1-8,NVT-1-8,41.2,155.5,26835.90333,10.8,1624.409,73486.53188,92,4364.969,1682122.424,1728773.053,1.728773053,73486.53188,1608635.892,0.073486532,1.608635892
40,IDW-3-3,IDW-3-3,12.7,23.9,1271.423491,7.2,542.805,16370.61312,49.3,2322.619,479637.9112,494737.1009,0.494737101,16370.61312,463267.2981,0.016370613,0.463267298
41,ORW-1-4,ORW-1-4,13,86,4683.067449,10.7,1220.266,54692.38947,53,4929.553,1094389.756,1144399.078,1.144399078,54692.38947,1039697.367,0.054692389,1.039697367
42,NVW-1-3,NVW-1-3,30.4,213.8,27225.12571,10.4,2333.959,101675.2318,78.3,8352.42,2739445.697,2813895.803,2.813895803,101675.2318,2637770.465,0.101675232,2.637770465
43,IDT-3-6,IDT-3-6,34,285.7,40689.07029,13,1448.602,78882.56829,54.5,2836.028,647434.1837,685627.6817,0.685627682,78882.56829,568551.6154,0.078882568,0.568551615
44,NMT-2-4,NMT-2-4,41.4,212,36764.17387,13.1,1250.202,68602.52398,73.9,3759.618,1163795.753,1195634.103,1.195634103,68602.52398,1095193.229,0.068602524,1.095193229
45,WAW-3-2,WAW-3-2,35.1,167.2,24582.83685,13.5,1089.172,61591.22557,66,6437.191,1779626.812,1816635.201,1.816635201,61591.22557,1718035.587,0.061591226,1.718035587
46,NMT-1-5,NMT-1-5,42.3,144.1,25532.47748,14.3,1573.138,94230.49415,78,4157.688,1358423.256,1427121.273,1.427121273,94230.49415,1264192.762,0.094230494,1.264192762
47,ORW-1-2,ORW-1-2,15.4,155.1,10005.09296,14,1723.478,101070.0287,44.5,5510.891,1027236.498,1118301.433,1.118301433,101070.0287,926166.469,0.101070029,0.926166469
48,IDV-3-1,IDV-3-1,15.2,52,3310.819778,9.6,1216.269,48909.07847,32,3623.634,485716.5634,531314.822,0.531314822,48909.07847,436807.4849,0.048909078,0.436807485
49,COW-1-4,COW-1-4,39.4,249.8,41226.57585,14.3,2464.534,147624.8471,31.3,NA,NA,NA,NA,147624.8471,NA,0.147624847,NA
50,ORW-2-2,ORW-2-2,15.3,45.8,2935.252848,5.6,549.677,12893.89715,56,3245.426,761286.8838,771245.5281,0.771245528,12893.89715,748392.9866,0.012893897,0.748392987
51,IDV-2-8,IDV-2-8,16.2,130.1,8828.378011,12.5,1321.924,69215.77878,43.6,3506.016,640308.0949,700695.4956,0.700695496,69215.77878,571092.3161,0.069215779,0.571092316
52,UTT-3-5,UTT-3-5,43.3,269.7,48916.7339,17.1,2119.568,151821.0791,107.5,7479.186,3367839.664,3470744.009,3.470744009,151821.0791,3216018.585,0.151821079,3.216018585
