Sample.tag.,Subspp.Prov.ID,STATE,Subspecies,subsppcyt,surv,x,y,size_t,census,time_mo,growth,dieback,Status,height_cm,width1_cm,width2_cm,repro
50,ORW-2-2,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,102,122,101,1
51,IDV-2-8,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,75,158,106,1
52,UTT-3-5,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,221,292,197,1
53,IDT-3-5,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,95,154,143,1
54,MTW-2-3,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,89,145,112,1
55,WAT-2-8,WA,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,120,161,154,1
56,IDV-5-1,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,72,148,58,1
57,IDT-2-9,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,121,207,192,1
58,AZW-1-10,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,23,52,30,0
59,IDT-3-4,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
60,ORW-3-1,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
61,CAT-2-5,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,5,A,94,32,30,0
62,MTT-1-8,MT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,150,203,135,1
63,NVT-2-9,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,120,196,132,1
64,MTT-1-5,MT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,157,160,159,1
65,CAW-3-2,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,58,133,100,1
66,WYW-1-2,WY,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,69,118,116,1
67,UTV-3-5,UT,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
68,WAT-2-7,WA,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,132,205,186,1
69,CAV-1-1,CA,AR,AR,NA,NA,NA,NA,NA,NA,NA,2,A,44,78,65,1
70,IDV-3-7,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,60,139,136,1
71,NVW-1-6,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
72,MTW-2-9,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,71,130,114,1
73,UTW-1-2,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,89,147,123,1
74,UTV-1-3,UT,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
75,UTV-3-2,UT,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,84,135,107,1
76,ORW-2-6,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,3,A,95,126,121,1
77,AZW-1-4,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
78,COW-1-5,CO,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,108,160,150,1
79,ORV-1-2,OR,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
80,WAW-3-9,WA,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,148,206,160,1
81,UTV-2-5,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
82,AZW-1-7,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,107,176,173,1
83,MTW-1-6,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,88,181,113,1
84,WAT-2-4,WA,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,82,168,63,1
85,NVT-1-10,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,138,167,142,1
86,IDV-5-3,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
87,COT-1-8,CO,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,147,231,180,1
88,ORT-2-1,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,153,192,155,1
89,UTV-3-6,UT,V,V4n,NA,NA,NA,NA,NA,NA,NA,1,A,95,177,172,1
90,CAV-1-2,CA,AR,AR,NA,NA,NA,NA,NA,NA,NA,2,A,71,136,121,1
91,UTT-3-2,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,132,184,185,1
92,IDW-1-3,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,81,136,72,1
93,CAW-3-6,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
94,ORT-1-5,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,67,105,94,1
