Sample.tag.,Subspp.Prov.ID,STATE,Subspecies,subsppcyt,surv,x,y,size_t,census,time_mo,growth,dieback,Status,height_cm,width1_cm,width2_cm,repro
261,NVV-2-7,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
262,ORT-2-9,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,196,245,191,1
263,NVV-2-2,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,60,122,115,1
264,CAV-4-2,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
265,CAV-3-5,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
266,UTW-1-1,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,69,145,107,1
267,NVW-1-7,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,159,167,153,1
268,IDT-3-8,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,4,A,130,175,78,1
269,NMT-1-7,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,147,194,136,1
270,MTW-3-4,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,74,148,113,1
271,COW-2-9,CO,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,87,150,101,1
272,IDW-1-7,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,63,114,112,1
273,ORT-3-3,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,94,155,114,1
274,NVV-3-6,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,75,172,102,1
275,WAT-2-1,WA,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,90,166,130,1
276,MTW-3-6,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,70,112,101,1
277,CAV-1-7,CA,AR,AR,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
278,UTW-1-10,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
279,CAT-2-4,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,136,176,148,1
280,CAV-2-8,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,59,153,94,1
281,ORV-1-10,OR,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,77,177,145,1
282,CAV-1-5,CA,AR,AR,NA,NA,NA,NA,NA,NA,NA,3,A,43,112,86,1
283,UTW-2-9,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,74,150,100,1
284,UTT-3-1,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,182,296,183,1
285,IDV-5-4,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
286,IDT-1-5,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,142,200,163,1
287,UTV-2-8,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,94,154,143,1
288,NVV-2-9,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
289,NVV-3-7,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
290,NMT-1-9,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,83,141,114,1
291,NVT-1-1,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,129,189,113,1
292,IDW-3-1,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,104,131,99,1
293,CAT-1-1,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,138,160,167,1
294,IDW-1-6,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,63,126,77,1
295,CAV-2-1,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,83,165,105,1
296,NVT-2-8,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,148,186,170,1
297,CAV-1-8,CA,AR,AR,NA,NA,NA,NA,NA,NA,NA,1,A,48,105,89,1
298,CAV-2-5,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,75,146,101,1
299,IDV-2-4,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,74,185,159,1
300,UTW-2-8,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,91,151,99,1
301,NVT-2-10,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,138,176,144,1
302,MTW-2-6,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,79,146,125,1
303,IDT-1-4,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,3,A,68,80,52,1
304,UTT-1-4,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,136,188,183,1
305,NMT-1-6,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,111,176,112,1
306,NVT-2-6,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,4,A,124,175,128,0
307,COW-1-1,CO,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,53,60,56,1
308,MTW-2-1,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
309,UTW-1-6,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,3,A,63,119,89,1
310,IDT-3-9,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
311,ORT-3-8,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,123,182,180,1
312,UTV-2-4,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,86,110,44,1
313,AZT-1-1,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,92,161,150,1
314,CAV-1-3,CA,AR,AR,NA,NA,NA,NA,NA,NA,NA,1,A,38,54,50,1
315,UTT-1-2,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,135,238,196,1
316,NVW-1-5,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,142,200,164,1
317,CAW-3-5,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
318,AZW-1-2,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,54,165,157,1
319,NVV-1-5,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,61,121,71,0
320,ORT-3-1,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,90,144,185,1
321,WYW-2-3,WY,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
322,COW-1-3,CO,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
323,NVV-2-3,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,89,182,121,1
324,ORW-2-7,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,91,131,60,1
325,AZT-1-5,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,113,191,109,1
326,UTT-1-1,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,123,235,162,1
327,COW-2-8,CO,V,V4n,NA,NA,NA,NA,NA,NA,NA,1,A,99,166,91,1
328,WAT-1-1,WA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,121,205,159,1
329,MTW-1-7,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,67,150,108,1
330,COW-2-7,CO,V,V4n,NA,NA,NA,NA,NA,NA,NA,1,A,66,200,177,1
331,COW-2-4,CO,V,V4n,NA,NA,NA,NA,NA,NA,NA,1,A,53,152,72,1
332,IDW-1-5,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,88,124,88,1
333,ORT-1-6,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,132,135,136,1
334,AZW-1-9,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,109,145,127,1
335,WAW-3-10,WA,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,63,84,76,1
336,MTT-1-2,MT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,141,210,163,1
337,ORT-3-6,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
338,ORW-3-2,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,118,185,168,1
339,ORT-2-10,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,165,180,160,1
340,NVT-2-3,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,151,228,160,1
341,UTV-3-7,UT,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
342,UTV-2-7,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
343,MTW-2-2,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,58,99,82,1
344,NVT-1-2,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,190,200,168,1
345,NMT-2-7,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,122,202,153,1
346,AZT-1-2,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,101,190,123,1
347,NVV-2-4,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,81,181,125,1
348,ORT-1-3,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,143,152,100,1
349,AZT-1-7,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,113,146,132,1
350,ORV-1-9,OR,V,V4n,NA,NA,NA,NA,NA,NA,NA,3,A,65,146,104,1
351,COW-1-6,CO,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,84,116,111,1
352,COW-2-2,CO,V,V4n,NA,NA,NA,NA,NA,NA,NA,3,A,52,140,128,0
353,IDW-1-4,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,61,77,69,1
354,MTV-1-1,MT,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,60,170,145,1
355,NVV-2-1,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,47,100,85,1
356,CAT-1-5,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,54,126,101,1
357,IDV-2-2,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,46,99,55,1
358,UTV-2-10,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,84,155,122,1
359,MTT-1-6,MT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,103,135,98,1
360,COT-1-4,CO,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,138,250,228,1
361,NVV-3-5,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
362,NVV-1-7,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
363,IDV-5-2,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,86,113,80,1
364,IDT-1-8,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,112,139,131,1
365,MTW-1-1,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,83,135,84,1
366,MTT-1-4,MT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,166,230,200,1
367,NVV-1-2,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
368,NVV-1-6,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
369,MTW-3-2,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,67,132,123,1
370,IDT-2-10,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
371,IDW-2-3,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
372,IDT-1-2,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,156,221,177,1
373,IDV-5-10,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,75,116,89,1
374,UTT-1-5,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,159,134,94,1
375,COT-1-1,CO,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,180,226,185,1
376,CAV-1-10,CA,AR,AR,NA,NA,NA,NA,NA,NA,NA,1,A,53,98,81,1
377,NVV-3-1,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,65,169,154,1
378,NVV-2-6,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,3,A,56,155,152,1
379,COW-2-3,CO,V,V4n,NA,NA,NA,NA,NA,NA,NA,3,A,55,102,108,1
380,UTV-3-9,UT,V,V4n,NA,NA,NA,NA,NA,NA,NA,1,A,53,124,115,1
381,UTW-2-10,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,87,79,50,1
382,MTW-3-9,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,59,120,97,1
383,IDT-1-6,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,140,137,136,1
384,AZW-1-6,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,106,170,147,1
385,NMT-1-4,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,2,A,122,84,80,1
386,UTW-2-7,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,60,68,47,1
387,NVV-3-9,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,1,A,87,138,128,1
388,AZT-1-3,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,84,105,89,1
389,UTT-2-3,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,127,194,109,1
390,NMT-2-9,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,111,153,100,1
391,NVT-2-2,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
392,NVV-3-8,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
393,IDV-3-6,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
394,IDV-5-7,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
395,WYW-1-1,WY,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
396,ORT-2-2,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,157,247,198,1
397,IDT-2-4,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,150,193,51,1
398,IDW-3-10,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,102,165,88,1
399,NVW-1-2,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,121,211,153,1
400,COT-1-6,CO,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,173,213,205,1
401,ORW-2-4,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,84,132,96,1
402,UTW-1-5,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,90,196,132,1
403,UTT-3-4,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,116,157,137,1
404,ORV-1-4,OR,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,91,161,146,1
405,CAV-3-3,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,4,A,104,55,51,1
406,ORT-1-1,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,150,210,134,1
407,ORV-2-4,OR,V,V2n,NA,NA,NA,NA,NA,NA,NA,1,A,82,172,158,1
408,ORT-3-4,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,121,186,128,1
409,NVT-2-7,NV,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,140,221,150,1
410,IDW-3-4,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
411,COT-1-9,CO,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,148,184,170,1
412,IDT-2-5,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,3,A,119,203,140,1
413,UTV-1-7,UT,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
414,AZT-1-4,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,73,241,228,1
415,WAT-1-10,WA,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,133,197,170,1
416,CAT-2-8,CA,T,T2n,NA,NA,NA,NA,NA,NA,NA,5,A,67,21,19,0
417,COW-1-7,CO,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,110,195,186,1
418,IDT-2-6,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,118,130,111,1
419,UTT-1-8,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,130,206,189,1
420,UTT-3-6,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,91,163,115,1
421,WAT-2-10,WA,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,115,218,197,1
422,WAT-1-9,WA,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
423,MTW-3-1,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,85,119,118,1
424,UTT-1-7,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,115,196,144,1
425,IDW-3-9,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,85,111,67,1
426,UTW-1-4,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,115,138,126,1
427,AZT-1-6,AZ,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,87,162,121,1
428,WYW-2-2,WY,W,W4n,NA,NA,NA,NA,NA,NA,NA,3,A,39,98,70,1
429,IDV-2-3,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,2,A,58,187,167,1
430,MTW-2-5,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,70,118,113,1
431,NVV-2-10,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
432,NMT-2-8,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,131,157,147,1
433,NVV-2-5,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,1,A,91,132,69,1
434,COT-1-10,CO,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,101,244,210,1
435,IDV-3-5,ID,V,V2n,NA,NA,NA,NA,NA,NA,NA,1,A,46,175,119,1
436,MTW-2-4,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,65,124,105,1
437,COW-2-5,CO,V,V4n,NA,NA,NA,NA,NA,NA,NA,2,A,80,118,96,1
438,CAV-3-1,CA,V,V4n,NA,NA,NA,NA,NA,NA,NA,3,A,68,92,49,1
439,UTV-2-6,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,88,153,116,1
440,IDT-2-7,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,105,110,101,1
441,NMT-1-10,NM,T,T4n,NA,NA,NA,NA,NA,NA,NA,1,A,128,160,115,1
442,UTT-2-8,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,153,268,168,1
443,UTV-1-4,UT,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
444,MTV-1-8,MT,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
445,MTW-3-5,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
446,COW-2-6,CO,V,V4n,NA,NA,NA,NA,NA,NA,NA,3,A,67,113,91,1
447,IDW-2-6,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,15,54,52,0
448,MTW-1-5,MT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,71,118,117,1
449,IDT-1-10,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,152,205,158,1
450,IDT-2-3,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,156,227,161,1
451,ORT-1-8,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,152,140,123,1
452,UTW-2-1,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,90,156,88,1
453,CAV-1-4,CA,AR,AR,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
454,ORV-1-3,OR,V,V4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
455,WAT-2-6,WA,T,T4n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
456,ORT-1-2,OR,T,T2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
457,UTW-2-3,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,76,135,132,1
458,CAW-3-7,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
459,UTW-1-9,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,1,A,127,245,193,1
460,CAV-2-2,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
461,IDT-3-10,ID,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,127,176,124,1
462,MTV-1-9,MT,T,T2n,NA,NA,NA,NA,NA,NA,NA,2,A,59,142,132,1
463,UTV-1-8,UT,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
464,NVV-1-8,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
465,NVV-1-9,NV,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
466,UTW-2-5,UT,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,77,143,121,1
467,IDW-3-8,ID,W,W4n,NA,NA,NA,NA,NA,NA,NA,2,A,90,154,145,1
468,CAV-2-7,CA,V,V2n,NA,NA,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
469,NVV-3-10,NV,V,V4n,NA,NA,NA,NA,NA,NA,NA,5,A,49,89,87,1
470,UTT-2-1,UT,T,T2n,NA,NA,NA,NA,NA,NA,NA,1,A,213,195,163,1
