Sample tag#,Subspp/Prov ID,STATE,Subspecies,subsppcyt,Prov,Repl,,survivorship,width (in),height (in)
46,NM'T-1-5,NM',T,T4n,-1,-5,NM'T-1,Alive,40,30
47,CAT-2-7,CA,T,T2n,-2,-7,CAT-2,Dead,,
48,CAV-1-10,CA,V,V2n,-1,-10,CAV-1,Dead,,
49,NVT*W-1-5,NV,T,T2n,*W-1,-5,NVT*W-1,Alive,47,48
50,MT'W-2-9,MT',W,W4n,-2,-9,MT'W-2,Dead,,
51,MT'W-2-8,MT',W,W4n,-2,-8,MT'W-2,Dead,,
52,CAT-2-1,CA,T,T2n,-2,-1,CAT-2,Alive,34,30
53,NM'T-2-3,NM',T,T4n,-2,-3,NM'T-2,Alive,26,10
54,AZ'T*W-1-5,AZ',T,T4n,*W-1,-5,AZ'T*W-1,Alive,36,40
55,ORT-1-5,OR,T,T2n,-1,-5,ORT-1,Barely Alive,28,30
56,UT'W*V-2-10,UT',W,W4n,*V-2,-10,UT'W*V-2,Alive,24,23
57,OR'W-1-1,OR',W,W4n,-1,-1,OR'W-1,Alive,25,27
58,UTT-3-5,UT,T,T2n,-3,-5,UTT-3,Dead,,
59,CAT-1-4,CA,T,T2n,-1,-4,CAT-1,Alive,36,37
60,ID'W-2-3,ID',W,W4n,-2,-3,ID'W-2,Barely Alive,29,14
61,WAT-1-5,WA,T,T2n,-1,-5,WAT-1,Alive,47,50
62,UT'V-3-2,UT',V,V4n,-3,-2,UT'V-3,Barely Alive,15,13
63,ID'W-1-7,ID',W,W4n,-1,-7,ID'W-1,Alive,22,26
64,WA'T-2-8,WA',T,T4n,-2,-8,WA'T-2,Alive,34,26
65,IDT-1-7,ID,T,T2n,-1,-7,IDT-1,Alive,41,26
66,UTT-2-1,UT,T,T2n,-2,-1,UTT-2,Barely Alive,57,34
67,IDV-5-6,ID,V,V2n,-5,-6,IDV-5,Dead,,
68,CAV-2-5,CA,V,V2n,-2,-5,CAV-2,Dead,,
69,MT'W-3-3,MT',W,W4n,-3,-5,MT'W-3,Alive,22,31
70,ID'W-3-6,ID',W,W4n,-3,-6,ID'W-3,Alive,35,29
71,ID'W-1-3,ID',W,W4n,-1,-3,ID'W-1,Alive,34,37
72,CO'V*W-2-3,CO',V,V4n,-2,-3,CO'V-2,Barely Alive,18,10
73,IDT-2-8,ID,T,T2n,-2,-8,IDT-2,Alive,49,52
74,UT'V-3-3,UT',V,V4n,-3,-3,UT'V-3,Barely Alive,16,19
75,IDT-2-3,ID,T,T2n,-2,-3,IDT-2,Alive,47,40
76,UTT-2-6,UT,T,T2n,-2,-6,UTT-2,Barely Alive,20,16
77,ORT-1-4,OR,T,T2n,-1,-4,ORT-1,Alive,32,40
78,UT'W-1-3,UT',W,W4n,-1,-3,UT'W-1,Alive,26,19
79,OR'W-1-2,OR',W,W4n,-1,-2,OR'W-1,Dead,,
80,UT'W*V-2-6,UT',W,W4n,*V-2,-6,UT'W*V-2,Alive,31,40
81,MTT-1-2,MT,T,T2n,-1,-2,MTT-1,Dead,,
82,IDT-3-7,ID,T,T2n,-3,-7,IDT-3,Alive,42,37
83,WA'T-2-2,WA',T,T4n,-2,-2,WA'T-2,Dead,,
84,UT'W-2-10,UT',W,W4n,-2,-10,UT'W-2,Alive,41,26
85,NVT-1-2,NV,T,T2n,-1,-2,NVT-1,Alive,51,57
86,AZ'T*W-1-6,AZ',T,T4n,*W-1,-6,AZ'T*W-1,Alive,29,26
87,AZ'T-1-2,AZ',T,T4n,-1,-2,AZ'T-1,Alive,26,32
88,WAT-1-8,WA,T,T2n,-1,-8,WAT-1,Alive,48,40
89,NM'T-2-7,NM',T,T4n,-2,-7,NM'T-2,Alive,41,47
90,ORT-3-3,OR,T,T2n,-3,-3,ORT-3,Alive,32,23
91,ORT-2-3,OR,T,T2n,-2,-3,ORT-2,Alive,48,31
92,AZ'T-1-4,AZ',T,T4n,-1,-4,AZ'T-1,Alive,44,30
93,ID'W-3-8,ID',W,W4n,-3,-8,ID'W-3,Alive,28,33
94,NVV-2-2,NV,V,V2n,-2,-2,NVV-2,Barely Alive,8,9
95,NM'T-2-1,NM',T,T4n,-2,-1,NM'T-2,Alive,37,29
96,MT'W-3-5,MT',W,W4n,-3,-10,MT'W-3,Dead,,
97,UT'W-2-1,UT',W,W4n,-2,-1,UT'W-2,Dead,,
98,UTV-1-4,UT,V,V2n,-1,-4,UTV-1,Dead,,
99,NM'T-2-6,NM',T,T4n,-2,-6,NM'T-2,Alive,25,26
100,WA'T-2-10,WA',T,T4n,-2,-10,WA'T-2,Dead,,
101,ID'W-1-8,ID',W,W4n,-1,-8,ID'W-1,Dead,,
102,IDV-5-8,ID,V,V2n,-5,-8,IDV-5,Barely Alive,18,14
103,UT'W-2-5,UT',W,W4n,-2,-5,UT'W-2,Barely Alive,10,3
104,UTV-1-2,UT,V,V2n,-1,-2,UTV-1,Dead,,
105,UTT-1-2,UT,T,T2n,-1,-2,UTT-1,Dead,,
106,IDT-3-6,ID,T,T2n,-3,-6,IDT-3,Alive,40,45
107,ORT*W-3-2,OR,T,T2n,*W-3,-2,ORT*W-3,Alive,41,29
108,CAV-2-1,CA,V,V2n,-2,-1,CAV-2,Dead,,
109,IDT-2-10,ID,T,T2n,-2,-10,IDT-2,Alive,39,46
110,NVT*W-1-7,NV,T,T2n,*W-1,-7,NVT*W-1,Alive,42,45
111,IDV-3-7,ID,V,V2n,-3,-7,IDV-3,Barely Alive,13,9
112,UT'W*V-2-3,UT',W,W4n,*V-2,-3,UT'W*V-2,Dead,,
113,NM'T-1-9,NM',T,T4n,-1,-9,NM'T-1,Alive,31,23
114,NVT-1-9,NV,T,T2n,-1,-9,NVT-1,Alive,53,32
115,UT'V-3-6,UT',V,V4n,-3,-6,UT'V-3,Alive,23,28
116,ORT-2-8,OR,T,T2n,-2,,ORT-2,Alive,52,61
117,ORT*W-2-8,OR,T,T2n,*W-2,-8,ORT*W-2,Dead,,
118,NVT*W-1-8,NV,T,T2n,*W-1,-8,NVT*W-1,Dead,,
119,CO'V*W-2-9,CO',V,V4n,-2,-9,CO'V-2,Dead,,
120,IDV-2-7,ID,V,V2n,-2,-7,IDV-2,Dead,,
121,CAV-2-10,CA,V,V2n,-2,-10,CAV-2,Dead,,
122,ORT-2-10,OR,T,T2n,-2,,ORT-2,Alive,50,51
123,NVV-2-4,NV,V,V2n,-2,-4,NVV-2,Barely Alive,18,16
124,COT-1-5,CO,T,T2n,-1,-5,COT-1,Alive,57,58
125,NVT-1-3,NV,T,T2n,-1,-3,NVT-1,Barely Alive,42,26
126,CA'V-3-6,CA',V,V4n,-3,-6,CA'V-3,Alive,19,26
127,UT'W-1-8,UT',W,W4n,-1,-8,UT'W-1,Alive,34,38
128,CAV-1-9,CA,V,V2n,-1,-9,CAV-1,Dead,,
129,OR'V-1-9,OR',V,V4n,-1,-9,OR'V-1,Alive,26,27
130,CAV-1-4,CA,V,V2n,-1,-4,CAV-1,Dead,,
131,CO'V*W-2-2,CO',V,V4n,-2,-2,CO'V-2,Barely Alive,13,8
132,CA'V-4-4,CA',V,V4n,-4,-4,CA'V-4,Dead,,
133,AZ'T-1-5,AZ',T,T4n,-1,-5,AZ'T-1,Alive,29,46
134,NVV-1-3,NV,V,V2n,-1,-3,NVV-1,Dead,,
135,WA'W-1-6,WA',W,W4n,-1,-6,WA'W-1,Alive,35,44
136,CO'W-1-4,CO',W,W4n,-1,-4,CO'W-1,Alive,22,26
137,NVT-2-10,NV,T,T2n,-2,-10,NVT-2,Dead,,
138,CO'W-1-8,CO',W,W4n,-1,-8,CO'W-1,Alive,20,28
139,CAV*W-3-6,CA,V,V2n,*W-3,-6,CAV*W-3,Dead,,
140,CO'W-1-1,CO',W,W4n,-1,-1,CO'W-1,Dead,,
141,ORT-1-8,OR,T,T2n,-1,-8,ORT-1,Dead,,
142,ORT*W-2-5,OR,T,T2n,*W-2,-5,ORT*W-2,Alive,30,22
143,NVT-1-8,NV,T,T2n,-1,-8,NVT-1,Alive,42,39
144,ID'W-1-10,ID',W,W4n,-1,-10,ID'W-1,Alive,30,41
145,NM'T-1-2,NM',T,T4n,-1,-2,NM'T-1,Dead,,
146,ID'W-3-9,ID',W,W4n,-3,-9,ID'W-3,Dead,,
147,NVT*W-1-6,NV,T,T2n,*W-1,-6,NVT*W-1,Dead,,
148,CAV-1-5,CA,V,V2n,-1,-5,CAV-1,Dead,,
149,IDT-3-10,ID,T,T2n,-3,,IDT-3,Barely Alive,19,11
150,NVV-2-9,NV,V,V2n,-2,-9,NVV-2,Dead,,
151,ORT-3-4,OR,T,T2n,-3,,ORT-3,Alive,42,36
152,NM'T-1-1,NM',T,T4n,-1,-1,NM'T-1,Alive,47,40
153,UTT-3-6,UT,T,T2n,-3,,UTT-3,Alive,23,20
154,IDT-1-1,ID,T,T2n,-1,-1,IDT-1,Barely Alive,22,12
155,MT'W-1-6,MT',W,W4n,-1,-6,MT'W-1,Dead,,
156,NVT*W-1-2,NV,T,T2n,*W-1,-2,NVT*W-1,Barely Alive,29,12
157,UT'W-2-6,UT',W,W4n,-2,-6,UT'W-2,Barely Alive,21,9
158,WA'T-2-1,WA',T,T4n,-2,-1,WA'T-2,Alive,38,43
159,AZ'T-1-3,AZ',T,T4n,-1,-3,AZ'T-1,Alive,31,21
160,ID'W-3-3,ID',W,W4n,-3,-3,ID'W-3,Dead,,
161,UTT-2-7,UT,T,T2n,-2,,UTT-2,Alive,47,41
162,ORT-2-7,OR,T,T2n,-2,,ORT-2,Alive,50,46
163,CO'V*W-2-10,CO',V,V4n,-2,-10,CO'V-2,Alive,26,25
164,NM'T-2-8,NM',T,T4n,-2,,NM'T-2,Alive,35,38
165,MT'W-2-3,MT',W,W4n,-2,-3,MT'W-2,Barely Alive,15,8
166,MT'W-3-10,MT',W,W4n,-3,-4,MT'W-3,Alive,16,26
167,CAV-2-3,CA,V,V2n,-2,-3,CAV-2,Dead,,
168,NVT*W-1-4,NV,T,T2n,*W-1,-4,NVT*W-1,Dead,,
169,WA'T-2-9,WA',T,T4n,-2,-9,WA'T-2,Alive,38,43
170,CAT-2-6,CA,T,T2n,-2,,CAT-2,Alive,60,46
171,MT'W-1-3,MT',W,W4n,-1,-3,MT'W-1,Dead,,
172,MTT-1-6,MT,T,T2n,-1,-6,MTT-1,Alive,38,43
173,UTT-1-3,UT,T,T2n,-1,-3,UTT-1,Alive,40,50
174,UT'W-1-2,UT',W,W4n,-1,-2,UT'W-1,Dead,,
175,IDV-5-4,ID,V,V2n,-5,-4,IDV-5,Dead,,
176,CAV-2-9,CA,V,V2n,-2,-9,CAV-2,Alive,20,23
177,CAV*W-3-5,CA,V,V2n,*W-3,-5,CAV*W-3,Dead,,
178,IDT-1-8,ID,T,T2n,-1,-8,IDT-1,Alive,29,38
179,UTV-1-3,UT,V,V2n,-1,-3,UTV-1,Dead,,
180,UT'W-1-6,UT',W,W4n,-1,-6,UT'W-1,Dead,,
181,ORT-2-9,OR,T,T2n,-2,,ORT-2,Barely Alive,30,37
182,UTT-1-7,UT,T,T2n,-1,-7,UTT-1,Dead,,
183,OR'V-1-3,OR',V,V4n,-1,-3,OR'V-1,Alive,24,25
184,UTT-3-9,UT,T,T2n,-3,,UTT-3,Alive,34,42
185,IDV-5-1,ID,V,V2n,-5,-1,IDV-5,Dead,,
186,OR'V-1-8,OR',V,V4n,-1,-8,OR'V-1,Dead,,
187,ORT-1-10,OR,T,T2n,-1,-10,ORT-1,Alive,30,35
188,ORT*W-3-3,OR,T,T2n,*W-3,-3,ORT*W-3,Alive,44,29
189,UT'W*V-2-1,UT',W,W4n,*V-2,-1,UT'W*V-2,Dead,,
190,NM'T-1-6,NM',T,T4n,-1,-6,NM'T-1,Alive,45,38
191,WY'W-2-3,WY',W,W4n,-2,-3,WY'W-2,Dead,,
192,WAT-1-6,WA,T,T2n,-1,-6,WAT-1,Alive,42,55
193,IDV-5-9,ID,V,V2n,-5,-9,IDV-5,Dead,,
194,UTT-1-9,UT,T,T2n,-1,-9,UTT-1,Dead,,
195,WAT-1-9,WA,T,T2n,-1,-9,WAT-1,Alive,17,31
196,MTV-1-2,MT,V,V2n,-1,-2,MTV-1,Dead,,
197,WAT-1-1-R,WA,T,T2n,-1,-1-R,WAT-1,Alive,54,54
198,ORT-1-3,OR,T,T2n,-1,-3,ORT-1,Alive,38,48
199,IDT-3-5,ID,T,T2n,-3,,IDT-3,Alive,26,39
200,COT-1-10,CO,T,T2n,-1,-10,COT-1,Alive,32,36
201,NM'T-2-4,NM',T,T4n,-2,,NM'T-2,Alive,42,36
202,OR'W-1-3,OR',W,W4n,-1,-3,OR'W-1,Dead,,
203,NM'T-1-3,NM',T,T4n,-1,-3,NM'T-1,Alive,37,41
204,NM'T-2-2,NM',T,T4n,-2,,NM'T-2,Alive,25,36
205,NVV-2-5,NV,V,V2n,-2,-5,NVV-2,Alive,22,23
206,UT'V-3-1,UT',V,V4n,-3,-1,UT'V-3,Dead,,
207,NVT-2-5,NV,T,T2n,-2,,NVT-2,Barely Alive,40,47
208,ORT-1-1,OR,T,T2n,-1,-1,ORT-1,Alive,45,42
209,IDV-3-8,ID,V,V2n,-3,-8,IDV-3,Dead,,
210,MT'W-1-1,MT',W,W4n,-1,-1,MT'W-1,Dead,,
211,AZ'T-1-7,AZ',T,T4n,-1,-7,AZ'T-1,Alive,43,29
212,OR'V-1-1,OR',V,V4n,-1,-1,OR'V-1,Barely Alive,3,9
213,NVT-2-9,NV,T,T2n,-2,,NVT-2,Alive,41,46
214,UTT-2-8,UT,T,T2n,-2,,UTT-2,Alive,32,50
215,NVT-2-7,NV,T,T2n,-2,,NVT-2,Alive,34,52
216,UT'W*V-2-8,UT',W,W4n,*V-2,-8,UT'W*V-2,Alive,28,32
217,CAV-1-6,CA,V,V2n,-1,-6,CAV-1,Dead,,
218,IDT-1-10,ID,T,T2n,-1,-10,IDT-1,Alive,48,54
219,ORT-3-10,OR,T,T2n,-3,,ORT-3,Dead,,
220,NV'V-3-4,NV',V,V4n,-3,-4,NV'V-3,Alive,17,12
221,CAT-2-10,CA,T,T2n,-2,,CAT-2,Alive,50,39
222,ORV-2-1,OR,V,V2n,-2,-1,ORV-2,Dead,,
223,MT'W-2-6,MT',W,W4n,-2,-6,MT'W-2,Dead,,
224,CO'V*W-2-6,CO',V,V4n,-2,-6,CO'V-2,Dead,,
225,CAT-1-5,CA,T,T2n,-1,-5,CAT-1,Alive,45,46
226,COT-1-1,CO,T,T2n,-1,-1,COT-1,Alive,37,53
227,UTT-3-1,UT,T,T2n,-3,,UTT-3,Dead,,
228,AZ'T-1-8,AZ',T,T4n,-1,-8,AZ'T-1,Alive,30,31
229,AZ'T*W-1-8,AZ',T,T4n,*W-1,-8,AZ'T*W-1,Alive,48,40
230,IDT-3-3,ID,T,T2n,-3,,IDT-3,Dead,,
231,ID'W-3-5,ID',W,W4n,-3,-5,ID'W-3,Alive,35,28
232,CO'W-1-10,CO',W,W4n,-1,-10,CO'W-1,Alive,32,36
233,ID'W-3-10,ID',W,W4n,-3,-10,ID'W-3,Barely Alive,15,25
234,NVT*W-1-3,NV,T,T2n,*W-1,-3,NVT*W-1,Alive,45,45
235,ID'W-3-2,ID',W,W4n,-3,-2,ID'W-3,Alive,16,14
236,WA'W-1-7,WA',W,W4n,-1,-7,WA'W-1,Alive,28,17
237,UTT-2-5,UT,T,T2n,-2,,UTT-2,Alive,39,33
238,NVT-1-5,NV,T,T2n,-1,-5,NVT-1,Barely Alive,45,27
239,NV'V-3-1,NV',V,V4n,-3,-1,NV'V-3,Dead,,
240,CA'V-3-5,CA',V,V4n,-3,-5,CA'V-3,Alive,35,20
241,CAT-1-3,CA,T,T2n,-1,-3,CAT-1,Alive,30,44
242,UTT-3-7,UT,T,T2n,-3,,UTT-3,Alive,28,31
243,IDV-4-7,ID,V,V2n,-4,-7,IDV-4,Dead,,
244,ORT-3-5,OR,T,T2n,-3,,ORT-3,Barely Alive,9,25
245,OR'V-1-4,OR',V,V4n,-1,-4,OR'V-1,Dead,,
246,COT-1-8,CO,T,T2n,-1,-8,COT-1,Alive,41,45
247,NVV-2-6,NV,V,V2n,-2,-6,NVV-2,Dead,,
248,ORT-2-5,OR,T,T2n,-2,,ORT-2,Alive,60,48
249,CO'V*W-2-1,CO',V,V4n,-2,-1,CO'V-2,Dead,,
250,IDV-2-2,ID,V,V2n,-2,-2,IDV-2,Dead,,
251,UTT-2-3,UT,T,T2n,-2,,UTT-2,Dead,,
252,CO'W-1-2,CO',W,W4n,-1,-2,CO'W-1,Alive,32,22
253,UT'W-1-7,UT',W,W4n,-1,-7,UT'W-1,Alive,31,30
254,IDV-2-9,ID,V,V2n,-2,-9,IDV-2,Dead,,
255,UT'W*V-2-2,UT',W,W4n,*V-2,-2,UT'W*V-2,Alive,43,33
256,WY'W-2-1,WY',W,W4n,-2,-1,WY'W-2,Dead,,
257,UTT-1-4,UT,T,T2n,-1,-4,UTT-1,Alive,41,49
258,NM'T-1-7,NM',T,T4n,-1,-7,NM'T-1,Alive,26,41
259,NVV-1-4,NV,V,V2n,-1,-4,NVV-1,Dead,,
260,NM'T-2-9,NM',T,T4n,-2,,NM'T-2,Alive,45,40
261,CO'V*W-2-4,CO',V,V4n,-2,-4,CO'V-2,Dead,,
262,ID'W-1-5,ID',W,W4n,-1,-5,ID'W-1,Alive,40,36
263,WAT-1-2,WA,T,T2n,-1,-2,WAT-1,Alive,36,40
264,ORT*W-2-7,OR,T,T2n,*W-2,-7,ORT*W-2,Barely Alive,28,45
265,CAV-2-7,CA,V,V2n,-2,-7,CAV-2,Dead,,
266,IDV-5-10,ID,V,V2n,-5,-10,IDV-5,Dead,,
267,CAV-2-4,CA,V,V2n,-2,-4,CAV-2,Dead,,
268,WA'T-2-4,WA',T,T4n,-2,-4,WA'T-2,Alive,33,32
269,IDT-1-2,ID,T,T2n,-1,-2,IDT-1,Alive,39,53
270,NV'V-3-3,NV',V,V4n,-3,-3,NV'V-3,Alive,33,33
271,UT'W*V-2-7,UT',W,W4n,*V-2,-7,UT'W*V-2,Alive,28,20
272,UT'W-1-10,UT',W,W4n,-1,-10,UT'W-1,Alive,31,33
273,IDT-2-4,ID,T,T2n,-2,,IDT-2,Alive,39,38
274,CAT-2-5,CA,T,T2n,-2,,CAT-2,Barely Alive,40,46
275,AZ'T*W-1-10,AZ',T,T4n,*W-1,-10,AZ'T*W-1,Alive,18,24
276,WAT-1-7,WA,T,T2n,-1,-7,WAT-1,Alive,42,43
277,NVT*W-1-1,NV,T,T2n,*W-1,-1,NVT*W-1,Dead,,
278,UTV-1-8,UT,V,V2n,-1,-8,UTV-1,Dead,,
279,ORT*W-2-4,OR,T,T2n,*W-2,-4,ORT*W-2,Dead,,
280,UTT-2-9,UT,T,T2n,-2,,UTT-2,Alive,41,42
281,UT'V-3-4,UT',V,V4n,-3,-4,UT'V-3,Barely Alive,34,31
282,WA'T-2-7,WA',T,T4n,-2,-7,WA'T-2,Dead,,
283,AZ'T*W-1-4,AZ',T,T4n,*W-1,-4,AZ'T*W-1,Alive,42,33
284,ORT-3-2,OR,T,T2n,-3,,ORT-3,Dead,,
285,WAT-1-10,WA,T,T2n,-1,-10,WAT-1,Dead,,
286,MTT-1-5,MT,T,T2n,-1,-5,MTT-1,Dead,,
287,WA'W-1-1,WA',W,W4n,-1,-1,WA'W-1,Dead,,
288,MT'W-3-4,MT',W,W4n,-3,-1,MT'W-3,Dead,,
289,COT-1-7,CO,T,T2n,-1,-7,COT-1,Alive,35,38
290,NV'V-3-5,NV',V,V4n,-3,-5,NV'V-3,Alive,35,22
291,OR'V-1-5,OR',V,V4n,-1,-5,OR'V-1,Dead,,
292,IDT-2-9,ID,T,T2n,-2,,IDT-2,Alive,37,30
293,CA'V-4-1,CA',V,V4n,-4,-1,CA'V-4,Dead,,
294,UTT-1-6,UT,T,T2n,-1,-6,UTT-1,Alive,53,38
295,UTV-1-1,UT,V,V2n,-1,-1,UTV-1,Dead,,
296,UT'W-1-1,UT',W,W4n,-1,-1,UT'W-1,Alive,13,14
297,COT-1-9,CO,T,T2n,-1,-9,COT-1,Alive,65,36
298,NVV-2-7,NV,V,V2n,-2,-7,NVV-2,Dead,,
299,UT'W-2-7,UT',W,W4n,-2,-7,UT'W-2,Alive,17,21
300,AZ'T*W-1-7,AZ',T,T4n,*W-1,-7,AZ'T*W-1,Alive,37,34
301,NVV-1-7,NV,V,V2n,-1,-7,NVV-1,Dead,,
302,NVT-1-6,NV,T,T2n,-1,-6,NVT-1,Alive,24,37
303,NVV-1-1,NV,V,V2n,-1,-1,NVV-1,Dead,,
304,WAT-1-4,WA,T,T2n,-1,-4,WAT-1,Alive,56,42
305,MT'W-3-1,MT',W,W4n,-3,-7-R,MT'W-3,Alive,18,9
306,ORT-3-8,OR,T,T2n,-3,-8,ORT-3,Barely Alive,9,30
307,NV'V-3-6,NV',V,V4n,-3,-6,NV'V-3,Dead,,
308,ORV-2-3,OR,V,V2n,-2,-3,ORV-2,Dead,,
309,NVV-2-1,NV,V,V2n,-2,-1,NVV-2,Alive,13,10
310,CAV-1-3,CA,V,V2n,-1,-3,CAV-1,Dead,,
311,CAT-2-9,CA,T,T2n,-2,-9,CAT-2,Alive,48,38
312,AZ'T*W-1-2,AZ',T,T4n,*W-1,-2,AZ'T*W-1,Alive,38,29
313,ID'W-2-6,ID',W,W4n,-2,-6,ID'W-2,Dead,,
314,OR'V-1-6,OR',V,V4n,-1,-6,OR'V-1,Dead,,
315,ORT*W-2-10,OR,T,T2n,*W-2,-10,ORT*W-2,Alive,18,28
316,CA'V-3-7,CA',V,V4n,-3,-7,CA'V-3,Dead,,
317,UT'W-2-9,UT',W,W4n,-2,-9,UT'W-2,Dead,,
318,CO'W-1-9,CO',W,W4n,-1,-9,CO'W-1,Alive,24,19
319,AZ'T*W-1-1,AZ',T,T4n,*W-1,-1,AZ'T*W-1,Alive,18,22
320,IDV-3-5,ID,V,V2n,-3,-5,IDV-3,Dead,,
321,NVT-2-8,NV,T,T2n,-2,-8,NVT-2,Alive,24,40
322,IDT-1-6,ID,T,T2n,-1,-6,IDT-1,Alive,56,44
323,NVV-2-8,NV,V,V2n,-2,-8,NVV-2,Dead,,
324,IDT-2-1,ID,T,T2n,-2,-1,IDT-2,Alive,60,52
325,UT'W-2-8,UT',W,W4n,-2,-8,UT'W-2,Alive,13,12
326,MTV-1-9,MT,V,V2n,-1,-9,MTV-1,Dead,,
327,CO'W-1-6,CO',W,W4n,-1,-6,CO'W-1,Dead,,
328,IDT-1-3,ID,T,T2n,-1,-3,IDT-1,Alive,50,39
329,MT'W-3-7-R,MT',W,W4n,-3,-9,MT'W-3,Alive,21,23
330,MT'W-3-9,MT',W,W4n,-3,-6,MT'W-3,Dead,,
331,UT'W*V-2-9,UT',W,W4n,*V-2,-9,UT'W*V-2,Alive,30,25
332,UT'W*V-2-4,UT',W,W4n,*V-2,-4,UT'W*V-2,Alive,31,25
333,UTT-1-1,UT,T,T2n,-1,-1,UTT-1,Alive,11,27
334,AZ'T*W-1-9,AZ',T,T4n,*W-1,-9,AZ'T*W-1,Alive,44,32
335,ORT*W-2-9,OR,T,T2n,*W-2,-9,ORT*W-2,Dead,,
336,IDV-2-1,ID,V,V2n,-2,-1,IDV-2,Dead,,
337,WA'W-1-9,WA',W,W4n,-1,-9,WA'W-1,Alive,28,32
338,UTT-3-10,UT,T,T2n,-3,-10,UTT-3,Alive,58,46
339,IDV-5-2,ID,V,V2n,-5,-2,IDV-5,Dead,,
340,ORT-3-9,OR,T,T2n,-3,-9,ORT-3,Alive,8,9
341,NVT-2-3,NV,T,T2n,-2,-3,NVT-2,Alive,69,55
342,NVT-1-10,NV,T,T2n,-1,-10,NVT-1,Alive,23,40
343,UT'W-2-3,UT',W,W4n,-2,-3,UT'W-2,Alive,11,27
344,CAT-2-2,CA,T,T2n,-2,-2,CAT-2,Alive,61,35
345,IDT-3-4,ID,T,T2n,-3,-4,IDT-3,Alive,33,29
346,IDV-3-1,ID,V,V2n,-3,-1,IDV-3,Dead,,
347,ID'W-1-4,ID',W,W4n,-1,-4,ID'W-1,Alive,47,32
